job_id,tool_id,tool_version,state,memory.max_usage_in_bytes,cpuacct.usage,process_count,galaxy_slots,runtime_seconds,ref_data_size,input_data_size_1,input_data_size_2
bfae77c95ca58073,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14315520.0000000,115920482.0000000,48.0000000,8.0000000,5.0000000,0,5623417156,5917669619
7ab31b49a9666200,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,34359615488.0000000,69484399382697.0000000,48.0000000,8.0000000,8820.0000000,0,5623417156,5917669619
db8cf086b414627e,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34358456320.0000000,106568740394446.0000000,48.0000000,8.0000000,13370.0000000,0,5623417156,5917669619
8c72e6364621e528,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,ok,36857438208.0000000,82207871598736.0000000,48.0000000,16.0000000,5360.0000000,0,5623417156,5917669619
57ecb284e144be5d,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,51989540864.0000000,133178648884049.0000000,48.0000000,32.0000000,4436.0000000,0,5623417156,5917669619
c4ea3235ee79a131,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,14368768.0000000,116376190.0000000,48.0000000,32.0000000,5.0000000,0,5623417156,5917669619
93fd8fb2e8672941,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,58297049088.0000000,35973595088973.0000000,48.0000000,32.0000000,1548.0000000,0,5623417156,5917669619
119b11df158696e0,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,34358747136.0000000,88082148356215.0000000,48.0000000,8.0000000,11115.0000000,0,5623417156,5917669619
560d20b53dd73231,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,13910016.0000000,151643535.0000000,48.0000000,16.0000000,5.0000000,0,5623417156,5917669619
2252902bc699b94d,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,13516800.0000000,150076015.0000000,48.0000000,16.0000000,6.0000000,0,5623417156,5917669619
929e4c7bbbc751ae,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,28386009088.0000000,24896902814625.0000000,48.0000000,16.0000000,1723.0000000,0,5623417156,5917669619
e6036da621c008b5,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,48713048064.0000000,29337240135005.0000000,48.0000000,16.0000000,2073.0000000,0,5623417156,5917669619
faabd825c6f1466d,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,55635517440.0000000,106692416783508.0000000,48.0000000,32.0000000,3560.0000000,0,5623417156,5917669619
33b5c4d9dcbc2277,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,39561826304.0000000,114576452292730.0000000,48.0000000,16.0000000,7347.0000000,0,5623417156,5917669619
83ad10bed517557d,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,25618653184.0000000,26413774770049.0000000,48.0000000,8.0000000,3458.0000000,0,5623417156,5917669619
ca955d3102a86ca1,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,2.4.2+galaxy0,error,15626240.0000000,145345013.0000000,48.0000000,4.0000000,5.0000000,0,5623417156,5917669619
8d2ced4f839ce8d7,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,17178955776.0000000,15643427768191.0000000,48.0000000,4.0000000,3974.0000000,0,5623417156,5917669619
dfe0e999ea8bac81,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,2.1.0+galaxy7,ok,31312838656.0000000,20911696332542.0000000,48.0000000,8.0000000,2719.0000000,0,5623417156,5917669619
3cad4208160de535,toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4,2.17+galaxy4,ok,59382394880.0000000,29323118680550.0000000,48.0000000,32.0000000,1159.0000000,0,5623417156,5917669619
6815593919d3d629,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,0.7.17.1,ok,17179054080.0000000,104118530251174.0000000,48.0000000,4.0000000,26077.0000000,0,5623417156,5917669619
